"variable","n_obs","n_miss","pct_miss"
"diabetes",1284384,45302,3.41
"prediabetes",766778,562908,42.33
"over_obese",1199262,130424,9.81
"bmi",1199262,130424,9.81
"active",1326192,3494,0.26
"any_exercise",1326192,3494,0.26
"meets_aerobic",372948,956738,71.95
"pa_recommend_cat",362823,966863,72.71
"meets_strength",419150,910536,68.48
"age",1329686,0,0
"female",1329686,0,0
"race",1300023,29663,2.23
"educ",1322520,7166,0.54
"income",1061227,268459,20.19
"current_smoker",1249632,80054,6.02
"state_fips",1329686,0,0
"survey_weight",1329686,0,0
